timestamp,long,lat,individual-local-identifier
2008-09-24 01:37:08,-1.3202,56.07863,gp13-902-08
2008-09-24 02:09:44,-1.32054,56.07007,gp13-902-08
2008-09-24 02:37:36,-1.32563,56.07238,gp13-902-08
2008-09-24 03:14:36,-1.32224,56.07669,gp13-902-08
2008-09-24 07:07:12,-1.30511,56.13488,gp13-902-08
2008-09-24 12:07:00,-1.28042,56.11595,gp13-902-08
2008-09-24 13:07:48,-1.2527,56.13382,gp13-902-08
2008-09-24 14:08:36,-1.26655,56.13966,gp13-902-08
2008-09-24 15:08:52,-1.28739,56.14901,gp13-902-08
2008-09-24 15:37:04,-1.30123,56.1594,gp13-902-08
2008-09-24 16:37:44,-1.34093,56.16378,gp13-902-08
2008-09-24 17:07:00,-1.35211,56.16516,gp13-902-08
2008-09-24 22:08:16,-1.3657,56.15798,gp13-902-08
2008-09-25 01:07:08,-1.3555,56.12677,gp13-902-08
2008-09-25 01:38:20,-1.34584,56.12275,gp13-902-08
2008-09-25 02:09:48,-1.34099,56.11973,gp13-902-08
2008-09-25 03:43:52,-1.31079,56.10952,gp13-902-08
2008-09-25 04:37:52,-1.31032,56.10998,gp13-902-08
2008-09-25 05:37:48,-1.31424,56.11611,gp13-902-08
2008-09-25 06:11:16,-1.30684,56.11349,gp13-902-08
2008-09-25 06:38:48,-1.29221,56.11094,gp13-902-08
2008-09-25 11:39:00,-1.232,56.09019,gp13-902-08
2008-09-25 12:07:00,-1.21824,56.08561,gp13-902-08
2008-09-25 16:38:20,-1.14013,56.04364,gp13-902-08
2008-09-25 18:39:08,-1.0674,56.0069,gp13-902-08
2008-09-25 22:37:00,-1.13535,55.99757,gp13-902-08
2008-09-25 23:41:08,-1.1766,56.005,gp13-902-08
2008-09-26 00:09:52,-1.1857,56.00964,gp13-902-08
2008-09-26 07:07:04,-1.28852,56.11331,gp13-902-08
2008-09-26 08:39:44,-1.26716,56.08231,gp13-902-08
2008-09-26 09:37:04,-1.28404,56.08244,gp13-902-08
2008-09-26 10:07:44,-1.27379,56.08637,gp13-902-08
2008-09-26 11:07:32,-1.27471,56.0607,gp13-902-08
2008-09-26 12:07:24,-1.32292,56.0584,gp13-902-08
2008-09-26 13:37:56,-1.39298,56.03721,gp13-902-08
2008-09-26 14:09:56,-1.38346,56.01963,gp13-902-08
2008-09-26 15:40:32,-1.33736,55.98795,gp13-902-08
2008-09-26 16:38:32,-1.26258,55.99649,gp13-902-08
2008-09-26 17:08:56,-1.22754,56.01377,gp13-902-08
2008-09-26 18:09:44,-1.21061,56.05857,gp13-902-08
2008-09-26 18:38:36,-1.22037,56.07584,gp13-902-08
2008-09-26 19:07:32,-1.24247,56.08896,gp13-902-08
2008-09-26 21:39:40,-1.32988,56.1124,gp13-902-08
2008-09-26 22:40:12,-1.39367,56.11617,gp13-902-08
2008-09-27 02:08:00,-1.59127,56.12323,gp13-902-08
2008-09-27 04:08:24,-1.69158,56.13818,gp13-902-08
2008-09-27 04:41:00,-1.71132,56.14618,gp13-902-08
2008-09-27 06:38:04,-1.81332,56.18755,gp13-902-08
2008-09-27 07:37:00,-1.88341,56.21495,gp13-902-08
2008-09-27 08:39:00,-1.95697,56.24294,gp13-902-08
2008-09-27 09:41:00,-2.03557,56.26859,gp13-902-08
2008-09-27 10:07:08,-2.06798,56.27767,gp13-902-08
2008-09-27 10:38:24,-2.10815,56.28618,gp13-902-08
2008-09-27 11:40:16,-2.18591,56.29477,gp13-902-08
2008-09-27 12:09:08,-2.22145,56.29663,gp13-902-08
2008-09-27 12:38:12,-2.2576,56.29942,gp13-902-08
2008-09-27 17:07:44,-2.53574,56.20458,gp13-902-08
2008-09-27 18:37:00,-2.56111,56.19133,gp13-902-08
2008-09-27 23:38:12,-2.56268,56.19367,gp13-902-08
2008-09-28 00:37:32,-2.59989,56.21852,gp13-902-08
2008-09-28 02:07:32,-2.60246,56.2614,gp13-902-08
2008-09-28 03:37:56,-2.60987,56.30478,gp13-902-08
2008-09-28 04:10:12,-2.62466,56.31959,gp13-902-08
2008-09-28 05:07:00,-2.65452,56.35317,gp13-902-08
2008-09-28 06:38:52,-2.72119,56.40471,gp13-902-08
2008-09-28 07:37:12,-2.77389,56.4303,gp13-902-08
2008-09-28 08:07:00,-2.78797,56.43266,gp13-902-08
2008-09-28 09:37:00,-2.78314,56.43326,gp13-902-08
2008-09-28 10:07:00,-2.79445,56.43478,gp13-902-08
2008-09-28 12:07:00,-2.79738,56.43439,gp13-902-08
2008-09-28 12:58:04,-2.79819,56.43415,gp13-902-08
2008-09-28 13:37:40,-2.79843,56.43605,gp13-902-08
2008-09-28 16:07:00,-2.79893,56.43435,gp13-902-08
2008-09-29 01:37:00,-2.79813,56.43479,gp13-902-08
2008-09-29 02:07:04,-2.79844,56.43576,gp13-902-08
2008-09-29 02:40:44,-2.79833,56.43592,gp13-902-08
2008-09-29 03:38:44,-2.80055,56.43876,gp13-902-08
2008-09-29 04:39:00,-2.79877,56.43481,gp13-902-08
2008-09-29 06:07:00,-2.79674,56.43512,gp13-902-08
2008-09-29 13:03:36,-2.79686,56.4353,gp13-902-08
2008-09-29 14:40:20,-2.79848,56.4361,gp13-902-08
2008-09-29 15:40:40,-2.79772,56.43539,gp13-902-08
2008-09-29 16:37:00,-2.79805,56.43423,gp13-902-08
2008-09-30 01:07:00,-2.79883,56.43453,gp13-902-08
2008-09-30 05:07:12,-2.80185,56.4299,gp13-902-08
2008-09-30 05:37:00,-2.79638,56.42852,gp13-902-08
2008-09-30 06:37:04,-2.79376,56.43445,gp13-902-08
2008-09-30 07:07:00,-2.79685,56.43522,gp13-902-08
