"","X.1","Elk","Date_Time","id","X","Y"
"220",220,"Wiggins2","2015-03-12 18:00:29",2,-1086253.26246432,2362627.25982646
"221",221,"Wiggins2","2015-03-12 19:00:29",2,-1086359.74798667,2362564.74911769
"222",222,"Wiggins2","2015-03-12 20:00:09",2,-1086344.77603191,2362555.83436587
"223",223,"Wiggins2","2015-03-12 21:00:13",2,-1086336.33836175,2362558.00549653
"224",224,"Wiggins2","2015-03-12 22:00:30",2,-1086337.13142888,2362552.48175012
"225",225,"Wiggins2","2015-03-12 23:00:30",2,-1086337.29004231,2362551.37700078
"226",226,"Wiggins2","2015-03-13 00:00:13",2,-1086337.29004231,2362551.37700078
"227",227,"Wiggins2","2015-03-13 01:00:13",2,-1086343.34850072,2362565.77710723
"228",228,"Wiggins2","2015-03-13 02:00:29",2,-1086332.50045373,2362528.13889726
"229",229,"Wiggins2","2015-03-13 03:00:13",2,-1086299.82844256,2362472.70965685
"230",230,"Wiggins2","2015-03-13 04:00:13",2,-1086253.45231235,2362399.5278957
"231",231,"Wiggins2","2015-03-13 05:00:30",2,-1086252.50072038,2362406.15641895
"232",232,"Wiggins2","2015-03-13 06:00:36",2,-1086252.50072038,2362406.15641895
"233",233,"Wiggins2","2015-03-13 07:00:16",2,-1086027.18612738,2362390.72639999
"234",234,"Wiggins2","2015-03-13 08:00:21",2,-1085381.58749333,2362246.22649537
"235",235,"Wiggins2","2015-03-13 09:00:13",2,-1085030.10129802,2362147.33455789
"236",236,"Wiggins2","2015-03-13 10:00:13",2,-1084642.735389,2361788.50368213
"237",237,"Wiggins2","2015-03-13 11:00:48",2,-1083426.91047666,2361369.67136603
"238",238,"Wiggins2","2015-03-13 12:00:13",2,-1083395.90353595,2361415.96841023
"239",239,"Wiggins2","2015-03-13 13:00:26",2,-1083395.90353595,2361415.96841023
"240",240,"Wiggins2","2015-03-13 14:00:13",2,-1083316.58950759,2361402.35899184
"241",241,"Wiggins2","2015-03-13 15:00:30",2,-1083006.44681821,2361298.21208766
"242",242,"Wiggins2","2015-03-13 16:00:12",2,-1083014.25185596,2361300.45653491
"243",243,"Wiggins2","2015-03-13 17:00:13",2,-1082971.74824569,2361313.54075432
"244",244,"Wiggins2","2015-03-13 18:00:30",2,-1082822.97764986,2360819.84589935
"245",245,"Wiggins2","2015-03-13 19:00:12",2,-1082561.35097339,2360546.77839242
"246",246,"Wiggins2","2015-03-13 20:00:30",2,-1082551.81121851,2359988.44530036
"247",247,"Wiggins2","2015-03-13 21:00:11",2,-1082551.96924287,2359987.34043106
"248",248,"Wiggins2","2015-03-13 22:00:30",2,-1082551.65319416,2359989.55016962
"249",249,"Wiggins2","2015-03-13 23:00:13",2,-1082551.81121851,2359988.44530036
"250",250,"Wiggins2","2015-03-14 00:00:30",2,-1082551.96924287,2359987.34043106
"251",251,"Wiggins2","2015-03-14 01:00:11",2,-1082545.1108727,2359978.46721825
"252",252,"Wiggins2","2015-03-14 02:00:12",2,-1082510.40836388,2359993.79845461
"253",253,"Wiggins2","2015-03-14 03:00:12",2,-1082524.75720367,2360007.12533933
"254",254,"Wiggins2","2015-03-14 04:00:31",2,-1082517.42477049,2360001.5667635
"255",255,"Wiggins2","2015-03-14 05:00:54",2,-1082517.26675083,2360002.67163312
"256",256,"Wiggins2","2015-03-14 06:00:11",2,-1082516.95071151,2360004.8813723
"257",257,"Wiggins2","2015-03-14 07:00:13",2,-1083002.19270977,2360419.30521567
"258",258,"Wiggins2","2015-03-14 08:00:26",2,-1083220.58312597,2360937.6282731
"259",259,"Wiggins2","2015-03-14 09:00:05",2,-1083367.69477561,2361556.24590002
"260",260,"Wiggins2","2015-03-14 10:00:17",2,-1083368.48562362,2361550.72178475
"261",261,"Wiggins2","2015-03-14 11:00:30",2,-1083368.0111148,2361554.03625398
"262",262,"Wiggins2","2015-03-14 12:00:10",2,-1083367.37843642,2361558.45554599
"263",263,"Wiggins2","2015-03-14 13:00:16",2,-1083436.83264936,2361754.43120449
"264",264,"Wiggins2","2015-03-14 14:00:11",2,-1083369.59738192,2361713.23604432
"265",265,"Wiggins2","2015-03-14 15:00:30",2,-1083369.28103653,2361715.44568389
"266",266,"Wiggins2","2015-03-14 16:00:19",2,-1083369.43920923,2361714.34086411
"267",267,"Wiggins2","2015-03-14 17:00:11",2,-1083068.26693566,2361490.83579055
"268",268,"Wiggins2","2015-03-14 18:00:11",2,-1082838.96285509,2361332.87314507
"269",269,"Wiggins2","2015-03-14 19:00:29",2,-1082765.31839797,2361109.24627859
"270",270,"Wiggins2","2015-03-14 20:00:03",2,-1082757.98734187,2361103.6875557
"271",271,"Wiggins2","2015-03-14 21:00:11",2,-1082757.67119387,2361105.89724188
"272",272,"Wiggins2","2015-03-14 22:00:30",2,-1082757.0388979,2361110.31661401
"273",273,"Wiggins2","2015-03-14 23:00:18",2,-1082756.88082392,2361111.42145699
"274",274,"Wiggins2","2015-03-15 00:00:11",2,-1082723.92093227,2361114.59804539
"275",275,"Wiggins2","2015-03-15 01:00:30",2,-1082701.03929337,2361160.93254969
"276",276,"Wiggins2","2015-03-15 02:00:18",2,-1082353.21053805,2361263.38336547
"277",277,"Wiggins2","2015-03-15 03:00:29",2,-1082408.12810428,2361390.74752819
"278",278,"Wiggins2","2015-03-15 04:00:10",2,-1082392.95733374,2361496.8124263
"279",279,"Wiggins2","2015-03-15 05:00:30",2,-1082391.37704662,2361507.86084288
"280",280,"Wiggins2","2015-03-15 06:00:18",2,-1082391.21901792,2361508.96568443
"281",281,"Wiggins2","2015-03-15 07:00:30",2,-1082710.67899218,2362002.26286232
"282",282,"Wiggins2","2015-03-15 08:00:10",2,-1082699.08068917,2362026.53456217
"283",283,"Wiggins2","2015-03-15 09:00:30",2,-1082662.96304256,2362051.80778975
"284",284,"Wiggins2","2015-03-15 10:00:12",2,-1082909.54697299,2362315.96460311
"285",285,"Wiggins2","2015-03-15 11:00:10",2,-1082909.70509056,2362314.85978718
"286",286,"Wiggins2","2015-03-15 12:00:10",2,-1082908.44015009,2362323.6983141
"287",287,"Wiggins2","2015-03-15 13:00:29",2,-1083394.22996135,2362335.73859714
"288",288,"Wiggins2","2015-03-15 14:00:19",2,-1083591.27990341,2362264.73845791
"289",289,"Wiggins2","2015-03-15 15:00:30",2,-1083609.26099024,2362252.65646437
"290",290,"Wiggins2","2015-03-15 16:00:18",2,-1084084.7862995,2362166.30680448
"291",291,"Wiggins2","2015-03-15 17:00:09",2,-1084358.98484366,2362180.7914855
"292",292,"Wiggins2","2015-03-15 18:00:30",2,-1084321.72544419,2361987.16265212
"293",293,"Wiggins2","2015-03-15 19:00:08",2,-1084489.00333164,2361897.25873437
"294",294,"Wiggins2","2015-03-15 20:00:09",2,-1084483.41583999,2361879.54562656
"295",295,"Wiggins2","2015-03-15 21:00:29",2,-1084482.94083369,2361882.8600156
"296",296,"Wiggins2","2015-03-15 22:00:47",2,-1084482.78249826,2361883.9648119
"297",297,"Wiggins2","2015-03-15 23:00:16",2,-1084474.50329286,2361885.03324696
"298",298,"Wiggins2","2015-03-16 00:00:11",2,-1084764.99846353,2361955.98619458
"299",299,"Wiggins2","2015-03-16 01:00:19",2,-1085306.122137,2362489.08962955
"300",300,"Wiggins2","2015-03-16 02:00:10",2,-1085427.08972748,2362665.419342
"301",301,"Wiggins2","2015-03-16 03:00:30",2,-1085427.24821243,2362664.31457851
"302",302,"Wiggins2","2015-03-16 04:00:17",2,-1085426.93124252,2362666.52410547
"303",303,"Wiggins2","2015-03-16 05:00:10",2,-1085426.93124252,2362666.52410547
"304",304,"Wiggins2","2015-03-16 06:00:30",2,-1085427.08972748,2362665.419342
"305",305,"Wiggins2","2015-03-16 07:00:17",2,-1085412.85309314,2363047.8531557
"306",306,"Wiggins2","2015-03-16 08:00:08",2,-1085055.26429798,2362595.17570659
"307",307,"Wiggins2","2015-03-16 09:00:10",2,-1084791.72129676,2362336.39933971
"308",308,"Wiggins2","2015-03-16 10:00:22",2,-1084772.26987519,2362302.04100993
